HintType,Symbol,TextList
LineStart,<Branch,"Key=~~,Condition=~~,Execute=~~,Weight=~~"
LineStart,<Animation,"Path=~~,StartFrame=~~,EndFrame=~~,FramePerSecond=~~,Loop=~~,XFlip=~~,YFlip=~~,RotationPreset=~~,ScalePreset=~~,AngleBaseAnimation=~~"
LineStart,<MultiSelectAnimation,"Path=~~,Condition=~~"
LineStart,<Physics,"UseGravity=~~,Velocity=~~,Friction=~~,Torque=~~,AngularFriction=~~"
LineStart,<BranchSet,Name=~~
LineStart,<GlobalVariable,"Name=~~,Value=~~"
LineStart,<ActionGraph,"Name=~~,DefaultAction=~~,DefaultFramePerSecond=~~,DefaultBuff=~~"
LineStartAndInQuote,<Animation XFlip=,"true,false"
LineStartAndInQuote,<Animation YFlip=,"true,false"
LineStartAndInQuote,<Animation Loop=,"true,false"
LineStartAndInQuote,<FrameEvent Type=,"Test,Attack,ApplyBuff,ApplyBuffTarget,DeleteBuff,TeleportToTarget,TeleportToTargetBack,SetDefenceType,Effect,SetFrameTag,Projectile,Danmaku,SetAnimationSpeed,KillEntity,Movement,ZoomEffect,StopUpdate"
ShortCut,__Action,<${1}>#n#t<Animation Path=~~>#n#t</Animation>#n</${1}>
ShortCut,__UseBranchSet,<UseBranchSet Name=~~/>
ShortCut,__FrameEvent,<FrameEvent Type=~~ StartFrame=~0~/>
ShortCut,__Branch,<Branch Condition=~~ Execute=~~/>
ShortCut,__BranchSet,<BranchSet Name=~~>#n#t#n</BranchSet>
ShortCut,__GlobalVariable,<GlobalVariable Name=~~ Value=~~/>
ShortCut,__FrameEvent_Attack,<FrameEvent Type=~Attack~ StartFrame=~0~ AttackPreset=~~>#n#t<OnHit>#n#t</OnHit>#n#n#t<OnGuard>#n#t</OnGuard>#n#n#t<OnParry>#n#t</OnParry>#n#n#t<OnGuardBreakFail>#n#t</OnGuardBreakFail>#n</FrameEvent>
ShortCut,__FrameEvent_AppyBuff,<FrameEvent Type=~AppyBuff~ StartFrame=~0~ ApplyBuff=~~/>
ShortCut,__FrameEvent_AppyBuffTarget,<FrameEvent Type=~AppyBuffTarget~ StartFrame=~0~ ApplyBuff=~~/>
ShortCut,__FrameEvent_DeleteBuff,<FrameEvent Type=~DeleteBuff~ StartFrame=~0~ BuffList=~~/>
ShortCut,__FrameEvent_TeleportToTarget,<FrameEvent Type=~TeleportToTarget~ StartFrame=~0~/>
ShortCut,__FrameEvent_TeleportToTargetBack,<FrameEvent Type=~TeleportToTargetBack~ StartFrame=~0~/>
ShortCut,__FrameEvent_SetDefenceType,<FrameEvent Type=~SetDefenceType~ StartFrame=~0~ DefenceType=~~/>
ShortCut,__EffectPhysics,<Physics UseGravity=~True~ Velocity=~0.0^10.0~ Friction=~1~ Torque=~360~ AngularFriction=~360~/>
ShortCut,__FrameEvent_Effect,<FrameEvent Type=~Effect~ StartFrame=~0~ Path=~~ FramePerSecond=~~/>
ShortCut,__FrameEvent_SetFrameTag,<FrameEvent Type=~FrameTag~ StartFrame=~0~ EndFrame=~999~ Tag=~~/>
ShortCut,__FrameEvent_Projectile,<FrameEvent Type=~Projectile~ StartFrame=~0~ GraphName=~~ DirectionType=~~ SpawnTargetType=~~/>
ShortCut,__FrameEvent_Danmaku,<FrameEvent Type=~Danmaku~ StartFrame=~0~ Path=~~/>
ShortCut,__FrameEvent_SetAnimationSpeed,<FrameEvent Type=~SetAnimationSpeed~ StartFrame=~0~ Speed=~~/>
ShortCut,__FrameEvent_KillEntity,<FrameEvent Type=~KillEntity~ StartFrame=~0~/>
ShortCut,__FrameEvent_Movement,<FrameEvent Type=~Movement~ StartFrame=~0~ Friction=~~ MaxVelocity=~~ Speed=~~/>
ShortCut,__MultiSelectAnimation,<MultiSelectAnimation Path=~~ Condition=~~/>
ShortCut,__FrameEvent_ZoomEffect,<FrameEvent Type=~ZoomEffect~ Scale=~~/>
ShortCut,__FrameEvent_StopUpdate,<FrameEvent Type=~StopUpdate~ Time=~~/>
ShortCut,__FrameEvent_SpawnCharacter,<FrameEvent Type=~SpawnCharacter~ StartFrame=~0~ CharacterKey=~~ Offset=~0 0 0~ SearchIdentifier=~~/>
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
